Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
95,5,3723.87,bad,medium,high,Loyal
583,1,1126.0,bad,low,high,Lost
17,4,779.05,good,medium,high,Loyal
408,1,955.2,bad,low,high,Lost
232,1,73.5,bad,low,low,Lost
133,4,1844.06,bad,medium,high,Loyal
25,2,398.27,good,low,medium,At Risk
283,1,176.5,bad,low,medium,Lost
142,9,5178.02,bad,high,high,Loyal
428,1,3084.02,bad,low,high,Lost
65,2,138.03,medium,low,medium,At Risk
112,1,612.29,bad,low,high,Lost
266,2,1597.76,bad,low,high,Lost
352,1,383.7,bad,low,medium,Lost
77,4,2648.62,medium,medium,high,Loyal
27,5,2502.84,good,medium,high,VIP
0,5,2056.89,,medium,high,VIP
63,2,726.54,medium,low,high,At Risk
78,5,2634.26,medium,medium,high,Loyal
142,1,599.68,bad,low,high,Lost
38,2,192.72,medium,low,medium,At Risk
18,23,4372.15,good,high,high,VIP
8,17,11126.11,good,high,high,VIP
497,3,973.73,bad,medium,high,Loyal
0,3,1316.66,,medium,high,Loyal
81,5,735.51,medium,medium,high,Loyal
8,6,1933.48,good,medium,high,VIP
527,1,316.48,bad,low,medium,Lost
59,9,3759.26,medium,high,high,Loyal
14,2,1933.2,good,low,high,At Risk
29,1,349.83000000000004,good,low,medium,At Risk
627,2,1367.89,bad,low,high,Lost
130,1,1089.18,bad,low,high,Lost
91,2,716.35,bad,low,high,Lost
42,3,12601.830000000002,medium,medium,high,Loyal
408,1,732.94,bad,low,high,Lost
28,2,640.45,good,low,high,At Risk
21,7,11214.75,good,high,high,VIP
19,33,22254.49,good,high,high,VIP
29,3,981.18,good,medium,high,Loyal
483,2,481.88,bad,low,medium,Lost
447,1,980.25,bad,low,high,Lost
35,1,372.7,medium,low,medium,At Risk
74,2,1000.39,medium,low,high,At Risk
46,2,1161.5,medium,low,high,At Risk
197,3,383.58,bad,medium,medium,Loyal
165,1,95.19999999999999,bad,low,low,Lost
575,6,1575.68,bad,medium,high,Loyal
78,1,964.83,medium,low,high,At Risk
357,1,168.0,bad,low,medium,Lost
38,2,437.82,medium,low,medium,At Risk
7,12,4608.75,good,high,high,VIP
448,1,468.5,bad,low,medium,Lost
681,1,129.23,bad,low,medium,Lost
49,2,603.71,medium,low,high,At Risk
15,8,18716.14,good,high,high,VIP
7,1,269.96,good,low,medium,At Risk
310,2,561.71,bad,low,high,Lost
4,3,2134.01,good,medium,high,Loyal
302,1,238.85,bad,low,medium,Lost
7,9,4966.92,good,high,high,VIP
408,1,249.24,bad,low,medium,Lost
260,1,456.9,bad,low,medium,Lost
288,1,145.92,bad,low,medium,Lost
85,1,351.65,medium,low,medium,At Risk
22,15,13709.86,good,high,high,VIP
644,1,70.0,bad,low,low,Lost
1,32,4124.69,good,high,high,VIP
681,1,77.52,bad,low,low,Lost
39,2,519.61,medium,low,high,At Risk
8,2,1020.42,good,low,high,At Risk
226,5,717.41,bad,medium,high,Loyal
315,1,218.45,bad,low,medium,Lost
456,2,622.8199999999999,bad,low,high,Lost
35,8,2142.72,medium,high,high,Loyal
34,8,1653.75,medium,high,high,Loyal
20,4,4642.45,good,medium,high,Loyal
77,1,440.42,medium,low,medium,At Risk
246,2,1052.9,bad,low,high,Lost
39,1,197.71,medium,low,medium,At Risk
238,4,1980.4,bad,medium,high,Loyal
2,27,14447.44,good,high,high,VIP
3,9,2338.15,good,high,high,VIP
233,2,2040.1,bad,low,high,Lost
16,4,2062.67,good,medium,high,Loyal
7,1,144.0,good,low,medium,At Risk
38,4,958.78,medium,medium,high,Loyal
28,8,4695.66,good,high,high,VIP
210,2,9864.26,bad,low,high,Lost
316,3,1352.15,bad,medium,high,Loyal
91,5,2582.66,bad,medium,high,Loyal
108,3,418.09999999999997,bad,medium,medium,Loyal
37,15,5090.110000000001,medium,high,high,Loyal
504,1,299.02,bad,low,medium,Lost
50,2,618.27,medium,low,high,At Risk
18,4,3811.22,good,medium,high,Loyal
9,11,4534.09,good,high,high,VIP
28,13,2296.72,good,high,high,VIP
28,21,5043.92,good,high,high,VIP
189,6,681.26,bad,medium,high,Loyal
58,1,153.12,medium,low,medium,At Risk
21,1,739.1999999999999,good,low,high,At Risk
78,2,254.18,medium,low,medium,At Risk
375,4,1232.95,bad,medium,high,Loyal
681,1,21.0,bad,low,low,Lost
59,1,1579.51,medium,low,high,At Risk
404,1,415.79,bad,low,medium,Lost
77,9,3435.86,medium,high,high,Loyal
22,5,2099.54,good,medium,high,VIP
51,1,1193.32,medium,low,high,At Risk
73,1,704.0400000000001,medium,low,high,At Risk
56,10,6835.07,medium,high,high,Loyal
277,1,315.6,bad,low,medium,Lost
1,8,5740.98,good,high,high,VIP
94,3,1131.1,bad,medium,high,Loyal
28,1,355.53,good,low,medium,At Risk
21,1,177.31,good,low,medium,At Risk
15,10,3781.38,good,high,high,VIP
14,3,1339.41,good,medium,high,Loyal
1,35,24775.81,good,high,high,VIP
231,1,180.1,bad,low,medium,Lost
275,7,3747.84,bad,high,high,Loyal
105,2,641.13,bad,low,high,Lost
211,4,5164.88,bad,medium,high,Loyal
22,9,6620.48,good,high,high,VIP
10,7,4478.53,good,high,high,VIP
3,3,786.46,good,medium,high,Loyal
385,2,1558.22,bad,low,high,Lost
9,2,1270.88,good,low,high,At Risk
56,6,3481.57,medium,medium,high,Loyal
520,2,804.88,bad,low,high,Lost
58,7,5678.16,medium,high,high,Loyal
535,2,490.0,bad,low,medium,Lost
89,4,2930.41,medium,medium,high,Loyal
738,1,141.0,bad,low,medium,Lost
66,12,8340.31,medium,high,high,Loyal
32,2,921.49,medium,low,high,At Risk
238,3,1312.37,bad,medium,high,Loyal
23,3,1174.58,good,medium,high,Loyal
114,1,185.9,bad,low,medium,Lost
24,3,1013.26,good,medium,high,Loyal
127,12,8350.42,bad,high,high,Loyal
129,4,1918.49,bad,medium,high,Loyal
33,8,3539.3,medium,high,high,Loyal
4,2,1346.97,good,low,high,At Risk
21,36,17924.35,good,high,high,VIP
154,4,1112.0,bad,medium,high,Loyal
106,8,2294.65,bad,high,high,Loyal
2,1,314.44,good,low,medium,At Risk
334,4,377.75,bad,medium,medium,Loyal
330,2,1017.03,bad,low,high,Lost
148,3,4160.83,bad,medium,high,Loyal
10,5,601.98,good,medium,high,VIP
423,1,261.35,bad,low,medium,Lost
16,8,6407.83,good,high,high,VIP
10,4,1643.18,good,medium,high,Loyal
18,1,686.05,good,low,high,At Risk
29,1,91.68,good,low,low,At Risk
10,1,245.1,good,low,medium,At Risk
435,1,162.0,bad,low,medium,Lost
0,20,6988.02,,high,high,VIP
624,2,239.4,bad,low,medium,Lost
7,11,6070.04,good,high,high,VIP
324,3,313.6,bad,medium,medium,Loyal
393,1,1248.42,bad,low,high,Lost
57,1,620.13,medium,low,high,At Risk
11,10,11444.68,good,high,high,VIP
150,3,2744.0299999999997,bad,medium,high,Loyal
9,7,3760.29,good,high,high,VIP
605,1,2622.481,bad,low,high,Lost
329,2,437.05,bad,low,medium,Lost
4,3,1230.02,good,medium,high,Loyal
38,4,1970.6,medium,medium,high,Loyal
553,2,958.5,bad,low,high,Lost
24,11,2843.09,good,high,high,VIP
554,2,395.1,bad,low,medium,Lost
41,21,34281.18,medium,high,high,Loyal
58,4,1113.02,medium,medium,high,Loyal
0,4,880.81,,medium,high,Loyal
14,45,30868.28,good,high,high,VIP
3,52,24033.91,good,high,high,VIP
3,21,12696.78,good,high,high,VIP
7,7,2283.63,good,high,high,VIP
27,6,2863.08,good,medium,high,VIP
371,1,178.28,bad,low,medium,Lost
480,2,2138.91,bad,low,high,Lost
113,1,4873.8099999999995,bad,low,high,Lost
25,2,1247.61,good,low,high,At Risk
205,1,389.01,bad,low,medium,Lost
27,7,1170.4,good,high,high,VIP
636,1,110.95,bad,low,medium,Lost
126,7,1703.02,bad,high,high,Loyal
69,3,1843.35,medium,medium,high,Loyal
6,7,1407.1200000000001,good,high,high,VIP
434,2,851.91,bad,low,high,Lost
28,3,957.59,good,medium,high,Loyal
589,1,339.75,bad,low,medium,Lost
417,1,638.11,bad,low,high,Lost
7,4,4939.99,good,medium,high,Loyal
79,6,2446.41,medium,medium,high,Loyal
19,1,219.0,good,low,medium,At Risk
70,4,1006.53,medium,medium,high,Loyal
6,8,2340.84,good,high,high,VIP
14,14,11762.1,good,high,high,VIP
291,1,603.42,bad,low,high,Lost
29,18,5314.1,good,high,high,VIP
14,34,31093.34,good,high,high,VIP
96,3,1149.02,bad,medium,high,Loyal
611,2,1339.05,bad,low,high,Lost
28,21,7193.66,good,high,high,VIP
0,1,848.55,,low,high,At Risk
8,12,14093.71,good,high,high,VIP
105,1,353.86,bad,low,medium,Lost
3,2,1053.49,good,low,high,At Risk
150,3,1308.91,bad,medium,high,Loyal
70,1,238.25,medium,low,medium,At Risk
4,2,644.95,good,low,high,At Risk
2,30,8260.67,good,high,high,VIP
31,8,4013.08,medium,high,high,Loyal
84,4,997.63,medium,medium,high,Loyal
3,5,725.07,good,medium,high,VIP
4,7,2317.52,good,high,high,VIP
370,4,2694.56,bad,medium,high,Loyal
27,11,4014.6,good,high,high,VIP
10,10,5679.53,good,high,high,VIP
70,5,1070.17,medium,medium,high,Loyal
113,1,453.01,bad,low,medium,Lost
521,1,829.25,bad,low,high,Lost
23,17,25775.71,good,high,high,VIP
179,1,236.26000000000002,bad,low,medium,Lost
233,4,2424.87,bad,medium,high,Loyal
352,3,639.65,bad,medium,high,Loyal
314,2,779.5699999999999,bad,low,high,Lost
332,1,234.0,bad,low,medium,Lost
498,2,3710.5,bad,low,high,Lost
371,1,310.7,bad,low,medium,Lost
77,4,2726.73,medium,medium,high,Loyal
63,1,427.6,medium,low,medium,At Risk
528,2,406.07,bad,low,medium,Lost
625,1,1201.52,bad,low,high,Lost
133,2,546.43,bad,low,high,Lost
51,11,25317.06,medium,high,high,Loyal
486,3,925.41,bad,medium,high,Loyal
540,1,254.55,bad,low,medium,Lost
1,26,9276.539999999999,good,high,high,VIP
0,336,56599.39,,high,high,VIP
3,9,6897.36,good,high,high,VIP
128,1,275.88,bad,low,medium,Lost
444,1,268.27,bad,low,medium,Lost
80,1,4366.78,medium,low,high,At Risk
22,6,21429.39,good,medium,high,VIP
235,3,3010.74,bad,medium,high,Loyal
280,11,9030.66,bad,high,high,Loyal
86,1,112.07999999999998,medium,low,medium,At Risk
15,13,7857.1,good,high,high,VIP
116,7,9903.24,bad,high,high,Loyal
51,8,5020.74,medium,high,high,Loyal
455,1,347.8,bad,low,medium,Lost
457,2,782.95,bad,low,high,Lost
7,2,1898.52,good,low,high,At Risk
137,2,814.16,bad,low,high,Lost
316,1,1693.88,bad,low,high,Lost
471,6,1404.58,bad,medium,high,Loyal
3,9,10068.28,good,high,high,VIP
375,1,949.82,bad,low,high,Lost
450,1,168.69000000000003,bad,low,medium,Lost
238,1,1143.6,bad,low,high,Lost
210,2,3246.45,bad,low,high,Lost
485,1,282.3,bad,low,medium,Lost
59,1,892.47,medium,low,high,At Risk
563,1,124.25,bad,low,medium,Lost
535,1,98.7,bad,low,low,Lost
16,7,1686.12,good,high,high,VIP
667,1,55.5,bad,low,low,Lost
457,1,519.45,bad,low,high,Lost
19,9,1775.68,good,high,high,VIP
37,14,6722.2699999999995,medium,high,high,Loyal
598,1,337.4,bad,low,medium,Lost
63,2,826.74,medium,low,high,At Risk
4,11,4618.24,good,high,high,VIP
1,6,2225.91,good,medium,high,VIP
8,3,1804.75,good,medium,high,Loyal
363,3,1100.4,bad,medium,high,Loyal
609,1,728.5,bad,low,high,Lost
9,4,862.18,good,medium,high,Loyal
462,4,444.9,bad,medium,medium,Loyal
64,3,273.35,medium,medium,medium,Loyal
191,2,591.85,bad,low,high,Lost
373,6,1056.1100000000001,bad,medium,high,Loyal
256,2,827.01,bad,low,high,Lost
334,3,1017.33,bad,medium,high,Loyal
52,2,860.41,medium,low,high,At Risk
18,1,430.48,good,low,medium,At Risk
627,1,381.0,bad,low,medium,Lost
365,2,806.11,bad,low,high,Lost
9,4,8510.93,good,medium,high,Loyal
528,1,219.35,bad,low,medium,Lost
469,3,584.25,bad,medium,high,Loyal
500,1,1071.82,bad,low,high,Lost
186,7,2416.42,bad,high,high,Loyal
392,1,1092.81,bad,low,high,Lost
465,2,327.02,bad,low,medium,Lost
381,4,1434.95,bad,medium,high,Loyal
434,4,2878.96,bad,medium,high,Loyal
382,1,330.35,bad,low,medium,Lost
36,5,906.1,medium,medium,high,Loyal
177,3,1755.94,bad,medium,high,Loyal
534,2,534.99,bad,low,high,Lost
260,5,1033.9,bad,medium,high,Loyal
44,1,229.64000000000001,medium,low,medium,At Risk
501,3,1687.8,bad,medium,high,Loyal
101,1,125.92,bad,low,medium,Lost
147,2,1063.46,bad,low,high,Lost
95,2,572.2,bad,low,high,Lost
280,3,690.98,bad,medium,high,Loyal
261,1,1542.08,bad,low,high,Lost
457,1,540.52,bad,low,high,Lost
2,11,2689.52,good,high,high,VIP
213,2,220.8,bad,low,medium,Lost
70,2,948.88,medium,low,high,At Risk
74,18,6501.5,medium,high,high,Loyal
59,1,397.12,medium,low,medium,At Risk
520,2,518.63,bad,low,high,Lost
2,12,2955.75,good,high,high,VIP
5,3,430.15000000000003,good,medium,medium,Loyal
2,6,1018.71,good,medium,high,VIP
336,3,385.3,bad,medium,medium,Loyal
37,6,6814.64,medium,medium,high,Loyal
261,3,451.11,bad,medium,medium,Loyal
31,2,383.03,medium,low,medium,At Risk
144,1,417.38,bad,low,medium,Lost
282,1,312.38,bad,low,medium,Lost
427,41,6043.31,bad,high,high,Loyal
58,15,6585.62,medium,high,high,Loyal
172,2,688.41,bad,low,high,Lost
33,10,3398.48,medium,high,high,Loyal
2,26,10071.73,good,high,high,VIP
143,7,4041.97,bad,high,high,Loyal
4,40,7540.68,good,high,high,VIP
69,4,1917.99,medium,medium,high,Loyal
65,30,6588.41,medium,high,high,Loyal
28,4,648.6,good,medium,high,Loyal
266,4,354.09,bad,medium,medium,Loyal
681,1,15.58,bad,low,low,Lost
21,2,1636.8999999999999,good,low,high,At Risk
675,1,208.0,bad,low,medium,Lost
30,6,3090.56,good,medium,high,VIP
445,1,330.0,bad,low,medium,Lost
96,2,284.13,bad,low,medium,Lost
294,1,311.55,bad,low,medium,Lost
134,11,3907.5,bad,high,high,Loyal
78,7,2994.02,medium,high,high,Loyal
372,4,650.9399999999999,bad,medium,high,Loyal
7,6,2179.93,good,medium,high,VIP
210,6,3688.0,bad,medium,high,Loyal
382,1,177.92,bad,low,medium,Lost
458,1,575.1,bad,low,high,Lost
692,1,55.47,bad,low,low,Lost
619,1,68.25,bad,low,low,Lost
425,2,1008.3199999999999,bad,low,high,Lost
51,6,2792.5499999999997,medium,medium,high,Loyal
137,2,299.57,bad,low,medium,Lost
25,4,3323.47,good,medium,high,Loyal
282,3,1227.35,bad,medium,high,Loyal
25,13,7913.29,good,high,high,VIP
185,8,2247.06,bad,high,high,Loyal
681,1,337.66999999999996,bad,low,medium,Lost
374,3,1676.95,bad,medium,high,Loyal
83,3,744.02,medium,medium,high,Loyal
326,12,3685.4900000000002,bad,high,high,Loyal
281,3,2027.3,bad,medium,high,Loyal
384,2,948.42,bad,low,high,Lost
142,5,1356.99,bad,medium,high,Loyal
57,4,4081.79,medium,medium,high,Loyal
3,20,2955.17,good,high,high,VIP
235,2,854.99,bad,low,high,Lost
44,3,573.22,medium,medium,high,Loyal
381,2,640.13,bad,low,high,Lost
275,1,298.0,bad,low,medium,Lost
8,2,1463.04,good,low,high,At Risk
24,4,703.47,good,medium,high,Loyal
87,1,309.05,medium,low,medium,At Risk
62,3,1175.22,medium,medium,high,Loyal
67,2,1378.4,medium,low,high,At Risk
383,1,222.4,bad,low,medium,Lost
213,2,354.12,bad,low,medium,Lost
380,4,385.46000000000004,bad,medium,medium,Loyal
23,2,717.27,good,low,high,At Risk
185,11,840.5,bad,high,high,Loyal
396,1,263.38,bad,low,medium,Lost
30,1,188.14,good,low,medium,At Risk
574,1,157.35,bad,low,medium,Lost
41,2,372.8,medium,low,medium,At Risk
204,4,514.25,bad,medium,high,Loyal
463,2,310.96000000000004,bad,low,medium,Lost
413,1,366.4,bad,low,medium,Lost
421,1,340.33,bad,low,medium,Lost
8,28,17654.54,good,high,high,VIP
264,1,138.68,bad,low,medium,Lost
428,1,833.53,bad,low,high,Lost
17,2,509.58,good,low,high,At Risk
576,2,1018.42,bad,low,high,Lost
11,5,2919.81,good,medium,high,VIP
395,2,508.91,bad,low,high,Lost
175,5,1776.0,bad,medium,high,Loyal
39,8,3103.19,medium,high,high,Loyal
22,13,5796.52,good,high,high,VIP
551,1,1680.47,bad,low,high,Lost
2,5,1662.3,good,medium,high,VIP
4,13,6700.860000000001,good,high,high,VIP
400,1,223.98,bad,low,medium,Lost
148,4,1174.75,bad,medium,high,Loyal
138,7,4654.0199999999995,bad,high,high,Loyal
127,6,4359.2,bad,medium,high,Loyal
625,1,10953.5,bad,low,high,Lost
7,6,1335.19,good,medium,high,VIP
16,4,488.09000000000003,good,medium,medium,Loyal
8,74,35921.04,good,high,high,VIP
160,1,405.38,bad,low,medium,Lost
63,3,789.87,medium,medium,high,Loyal
87,12,2469.4,medium,high,high,Loyal
4,3,729.3299999999999,good,medium,high,Loyal
410,4,1548.46,bad,medium,high,Loyal
394,1,197.31,bad,low,medium,Lost
34,12,4304.89,medium,high,high,Loyal
311,1,117.85,bad,low,medium,Lost
77,2,415.8,medium,low,medium,At Risk
21,57,92347.34,good,high,high,VIP
538,8,1698.56,bad,high,high,Loyal
23,8,1687.03,good,high,high,VIP
736,1,181.65,bad,low,medium,Lost
1,15,4243.86,good,high,high,VIP
16,4,1063.9,good,medium,high,Loyal
14,9,3097.61,good,high,high,VIP
25,1,114.14,good,low,medium,At Risk
63,20,25264.8,medium,high,high,Loyal
54,2,913.54,medium,low,high,At Risk
723,1,377.49,bad,low,medium,Lost
130,3,942.65,bad,medium,high,Loyal
557,2,496.5,bad,low,medium,Lost
35,2,604.51,medium,low,high,At Risk
287,2,900.11,bad,low,high,Lost
436,1,324.45,bad,low,medium,Lost
143,6,1908.03,bad,medium,high,Loyal
15,9,2317.43,good,high,high,VIP
30,22,15526.7,good,high,high,VIP
1,3,1843.0,good,medium,high,Loyal
8,15,3213.7200000000003,good,high,high,VIP
5,4,1387.79,good,medium,high,Loyal
9,2,828.8100000000001,good,low,high,At Risk
638,1,162.45,bad,low,medium,Lost
0,11,4757.16,,high,high,VIP
305,4,521.89,bad,medium,high,Loyal
9,13,8706.97,good,high,high,VIP
399,2,539.49,bad,low,high,Lost
483,1,150.95,bad,low,medium,Lost
413,4,1322.07,bad,medium,high,Loyal
378,1,211.99,bad,low,medium,Lost
6,2,266.39,good,low,medium,At Risk
7,12,3601.59,good,high,high,VIP
436,1,132.24,bad,low,medium,Lost
88,1,771.91,medium,low,high,At Risk
9,1,160.18,good,low,medium,At Risk
357,3,4306.92,bad,medium,high,Loyal
111,1,135.95,bad,low,medium,Lost
602,1,122.45,bad,low,medium,Lost
6,10,1524.97,good,high,high,VIP
3,116,15972.79,good,high,high,VIP
413,4,1161.2,bad,medium,high,Loyal
413,1,385.55,bad,low,medium,Lost
197,2,408.95,bad,low,medium,Lost
436,6,2100.09,bad,medium,high,Loyal
211,8,3156.38,bad,high,high,Loyal
155,4,517.63,bad,medium,high,Loyal
384,5,2502.82,bad,medium,high,Loyal
728,1,517.7,bad,low,high,Lost
157,21,16245.78,bad,high,high,Loyal
29,2,372.21999999999997,good,low,medium,At Risk
242,8,2744.81,bad,high,high,Loyal
597,1,490.08000000000004,bad,low,medium,Lost
18,1,97.5,good,low,low,At Risk
0,2,1239.38,,low,high,At Risk
428,10,2729.84,bad,high,high,Loyal
73,5,1312.21,medium,medium,high,Loyal
291,1,535.32,bad,low,high,Lost
2,33,13551.75,good,high,high,VIP
30,7,955.5,good,high,high,VIP
22,3,764.82,good,medium,high,Loyal
724,1,93.35000000000001,bad,low,low,Lost
22,8,1259.6299999999999,good,high,high,VIP
3,3,974.4200000000001,good,medium,high,Loyal
84,1,211.32,medium,low,medium,At Risk
375,1,355.5,bad,low,medium,Lost
21,8,2110.91,good,high,high,VIP
492,3,920.08,bad,medium,high,Loyal
195,3,455.88,bad,medium,medium,Loyal
106,4,1032.5,bad,medium,high,Loyal
3,33,24172.100000000002,good,high,high,VIP
317,3,414.13,bad,medium,medium,Loyal
105,3,149.05,bad,medium,medium,Loyal
11,36,11650.85,good,high,high,VIP
173,4,999.68,bad,medium,high,Loyal
55,1,81.57,medium,low,low,At Risk
579,1,175.25,bad,low,medium,Lost
322,3,612.13,bad,medium,high,Loyal
672,1,234.0,bad,low,medium,Lost
373,2,330.12,bad,low,medium,Lost
371,1,101.10000000000001,bad,low,medium,Lost
8,11,2972.83,good,high,high,VIP
0,29,12625.77,,high,high,VIP
10,11,5381.08,good,high,high,VIP
52,11,6586.42,medium,high,high,Loyal
72,3,789.89,medium,medium,high,Loyal
6,1,204.0,good,low,medium,At Risk
15,35,9763.16,good,high,high,VIP
378,6,1229.95,bad,medium,high,Loyal
562,2,618.96,bad,low,high,Lost
3,17,4887.24,good,high,high,VIP
429,1,65.3,bad,low,low,Lost
63,3,1449.03,medium,medium,high,Loyal
470,2,555.87,bad,low,high,Lost
731,1,323.39,bad,low,medium,Lost
0,9,1733.08,,high,high,VIP
113,19,17335.2,bad,high,high,Loyal
